tiempo,x,y,vx,vy
4.55,227.5,34.954237500000005,50.0,-14.6355
4.5600000000000005,228.00000000000003,34.80739199999998,50.0,-14.73360000000001
4.57,228.5,34.659565500000014,50.0,-14.831700000000005
4.58,229.0,34.510757999999996,50.0,-14.9298
4.59,229.5,34.360969499999996,50.0,-15.027900000000002
4.6000000000000005,230.00000000000003,34.2102,50.0,-15.126000000000005
4.61,230.50000000000003,34.058449499999995,50.0,-15.224100000000007
4.62,231.0,33.90571799999999,50.0,-15.322200000000002
4.63,231.5,33.75200550000001,50.0,-15.420300000000005
4.64,231.99999999999997,33.59731199999999,50.0,-15.5184
4.65,232.50000000000003,33.441637499999985,50.0,-15.61650000000001
4.66,233.0,33.284982,50.0,-15.714600000000004
4.67,233.5,33.127345500000004,50.0,-15.8127
4.68,234.0,32.968727999999984,50.0,-15.910800000000002
4.69,234.50000000000003,32.8091295,50.0,-16.008900000000004
4.7,235.0,32.64854999999997,50.0,-16.107000000000006
4.71,235.5,32.48698950000001,50.0,-16.2051
4.72,236.0,32.324448000000004,50.0,-16.303199999999997
4.73,236.50000000000003,32.160925499999976,50.0,-16.401300000000006
4.74,237.0,31.99642200000001,50.0,-16.4994
4.75,237.5,31.83093749999999,50.0,-16.597500000000004
4.76,238.0,31.66447199999999,50.0,-16.6956
4.7700000000000005,238.50000000000003,31.497025499999992,50.0,-16.79370000000001
4.78,239.0,31.328597999999985,50.0,-16.891800000000003
4.79,239.5,31.159189499999982,50.0,-16.989900000000006
4.8,240.0,30.988799999999998,50.0,-17.088
4.8100000000000005,240.50000000000003,30.817429499999974,50.0,-17.18610000000001
4.82,241.0,30.645078000000012,50.0,-17.284200000000006
4.83,241.5,30.471745499999997,50.0,-17.3823
4.84,242.0,30.297431999999986,50.0,-17.480400000000003
4.8500000000000005,242.50000000000003,30.122137500000008,50.0,-17.578500000000005
4.86,243.00000000000003,29.94586199999999,50.0,-17.676600000000008
4.87,243.5,29.76860549999998,50.0,-17.774700000000003
4.88,244.0,29.590367999999998,50.0,-17.872799999999998
4.89,244.49999999999997,29.411149500000008,50.0,-17.9709
4.9,245.00000000000003,29.230949999999964,50.0,-18.069000000000003
4.91,245.5,29.04976950000001,50.0,-18.167100000000005
4.92,246.0,28.86760799999999,50.0,-18.2652
4.93,246.5,28.684465499999988,50.0,-18.363300000000002
4.94,247.00000000000003,28.50034199999999,50.0,-18.461400000000005
4.95,247.5,28.31523749999998,50.0,-18.559500000000007
4.96,248.0,28.129152000000005,50.0,-18.657600000000002
4.97,248.5,27.942085500000005,50.0,-18.755699999999997
4.98,249.00000000000003,27.75403799999998,50.0,-18.853800000000007
4.99,249.5,27.565009500000002,50.0,-18.951900000000002
5.0,250.0,27.375,50.0,-19.050000000000004
5.01,250.5,27.184009499999988,50.0,-19.1481
5.0200000000000005,251.00000000000003,26.992037999999994,50.0,-19.24620000000001
5.03,251.5,26.79908549999999,50.0,-19.344300000000004
5.04,252.0,26.605151999999975,50.0,-19.442400000000006
5.05,252.5,26.410237500000008,50.0,-19.5405
5.0600000000000005,253.00000000000003,26.214341999999988,50.0,-19.63860000000001
5.07,253.5,26.0174655,50.0,-19.736700000000006
5.08,254.0,25.819608000000002,50.0,-19.8348
5.09,254.5,25.620769499999994,50.0,-19.932900000000004
5.1000000000000005,255.00000000000003,25.42094999999999,50.0,-20.031000000000006
5.11,255.50000000000003,25.22014949999999,50.0,-20.129100000000008
5.12,256.0,25.01836799999998,50.0,-20.227200000000003
5.13,256.5,24.815605500000004,50.0,-20.3253
5.14,257.0,24.611862000000002,50.0,-20.4234
5.15,257.5,24.407137499999976,50.0,-20.521500000000003
5.16,258.0,24.201431999999983,50.0,-20.619600000000005
5.17,258.5,23.994745499999993,50.0,-20.7177
5.18,259.0,23.78707799999998,50.0,-20.815800000000003
5.19,259.5,23.5784295,50.0,-20.913900000000005
5.2,260.0,23.368799999999993,50.0,-21.012000000000008
5.21,260.5,23.15818950000002,50.0,-21.110100000000003
5.22,261.0,22.946597999999994,50.0,-21.208199999999998
5.23,261.5,22.734025499999973,50.0,-21.306300000000007
5.24,262.0,22.520471999999984,50.0,-21.404400000000003
5.25,262.5,22.3059375,50.0,-21.502500000000005
5.26,263.0,22.09042199999999,50.0,-21.6006
5.2700000000000005,263.5,21.873925500000013,50.0,-21.69870000000001
5.28,264.0,21.656447999999983,50.0,-21.796800000000005
5.29,264.5,21.437989499999986,50.0,-21.8949
5.3,265.0,21.218549999999993,50.0,-21.993000000000002
5.3100000000000005,265.5,20.998129499999976,50.0,-22.091100000000004
5.32,266.0,20.77672799999999,50.0,-22.189200000000007
